Wall time,Step,Value
1564808755.604712,10,19.0
1564808756.0947578,20,17.5
1564808756.605212,30,18.5
1564808757.1576755,40,19.799999237060547
1564808757.6820107,50,18.600000381469727
1564808758.2146347,60,19.0
1564808758.7096775,70,17.700000762939453
1564808759.2486272,80,18.700000762939453
1564808759.8263004,90,20.899999618530273
1564808760.3070683,100,16.799999237060547
1564808769.1787746,110,18.5
1564808770.2932367,120,19.899999618530273
1564808771.3273869,130,17.600000381469727
1564808772.4972472,140,18.200000762939453
1564808773.6955676,150,19.0
1564808774.918769,160,20.299999237060547
1564808776.0113072,170,19.600000381469727
1564808777.4058466,180,18.399999618530273
1564808778.6182349,190,18.200000762939453
1564808780.193812,200,19.700000762939453
1564808781.5061815,210,18.0
1564808782.8849144,220,20.700000762939453
1564808784.3014789,230,20.0
1564808786.0999002,240,20.799999237060547
1564808787.6443927,250,19.100000381469727
1564808789.237737,260,18.200000762939453
1564808790.800374,270,20.200000762939453
1564808792.671528,280,21.0
1564808794.3866875,290,20.100000381469727
1564808796.3225079,300,19.0
1564808798.3354428,310,21.799999237060547
1564808800.4058225,320,21.399999618530273
1564808802.673034,330,21.899999618530273
1564808804.8417404,340,22.200000762939453
1564808806.972982,350,19.100000381469727
1564808809.5872018,360,21.0
1564808811.5108993,370,20.899999618530273
1564808814.314395,380,22.299999237060547
1564808817.0511487,390,22.200000762939453
1564808819.704127,400,21.799999237060547
1564808822.5418913,410,21.5
1564808825.1635566,420,25.0
1564808827.6807003,430,21.399999618530273
1564808830.1527047,440,21.200000762939453
1564808833.50129,450,22.399999618530273
1564808836.3484507,460,22.100000381469727
1564808839.0302918,470,21.700000762939453
1564808841.563759,480,21.5
1564808844.8235333,490,22.0
1564808848.1985292,500,23.0
1564808851.4307458,510,22.600000381469727
1564808855.3188918,520,27.200000762939453
1564808858.883716,530,23.600000381469727
1564808861.6782134,540,21.299999237060547
1564808865.2927184,550,21.700000762939453
1564808868.8041105,560,21.700000762939453
1564808871.6836214,570,21.299999237060547
1564808875.1389961,580,20.899999618530273
1564808878.8956525,590,25.5
1564808881.949557,600,21.700000762939453
1564808884.7989209,610,22.799999237060547
1564808888.8442292,620,22.100000381469727
1564808893.0836368,630,23.0
1564808897.1375206,640,21.600000381469727
